Account Summary Export
Account ending in 7734
Statement Period: Jan 01, 2026 - Jun 30, 2026

Trans. Date,Post Date,Description,Amount,Category
Jan 1, 2026,Jan 1, 2026,"NETFLIX.COM",($15.49),Entertainment
Apr 26, 2026,Apr 26, 2026,"LYFT RIDE",($27.56),Transport
Apr 27, 2026,Apr 27, 2026,"SHELL OIL 5741",($32.14),Gas
Apr 27, 2026,Apr 27, 2026,"UBER TRIP",($26.32),Transport
Apr 27, 2026,Apr 27, 2026,"KROGER #532",($88.29),Groceries
Apr 27, 2026,Apr 27, 2026,"STARBUCKS STORE 4471",($7.30),Dining
Apr 27, 2026,Apr 27, 2026,"WHOLE FOODS MARKET",($68.26),Groceries
Apr 27, 2026,Apr 27, 2026,"TARGET RETURN",$24.99,Shopping
Apr 27, 2026,Apr 27, 2026,"CARD PAYMENT - THANK YOU",$621.93,Payment
May 2, 2026,May 2, 2026,"NETFLIX.COM 866-579-7172",($17.99),Entertainment
May 5, 2026,May 5, 2026,"SPOTIFY PREMIUM",($11.99),Entertainment
May 8, 2026,May 8, 2026,"ADOBE CREATIVE CLOUD",($54.99),Software
May 11, 2026,May 11, 2026,"XBOX GAME PASS ULTIMATE",($16.99),Entertainment
May 12, 2026,May 12, 2026,"STATE FARM INSURANCE",($145.00),Insurance
May 15, 2026,May 15, 2026,"AT&T WIRELESS",($95.32),Bills & Utilities
May 17, 2026,May 17, 2026,"CITY WATER UTILITY",($44.20),Bills & Utilities
May 19, 2026,May 19, 2026,"BEST BUY 00456",($197.11),Shopping
May 20, 2026,May 20, 2026,"CHIPOTLE ONLINE",($10.71),Dining
May 23, 2026,May 23, 2026,"PANERA BREAD",($8.47),Dining
May 24, 2026,May 24, 2026,"TARGET STORE 1122",($202.03),Shopping
May 26, 2026,May 26, 2026,"LYFT RIDE",($11.42),Transport
May 27, 2026,May 27, 2026,"TRADER JOE'S",($53.92),Groceries
May 27, 2026,May 27, 2026,"AMAZON.COM",($50.35),Shopping
May 27, 2026,May 27, 2026,"STARBUCKS STORE 4471",($7.62),Dining
May 27, 2026,May 27, 2026,"WHOLE FOODS MARKET",($88.81),Groceries
May 27, 2026,May 27, 2026,"KROGER #532",($89.23),Groceries
May 27, 2026,May 27, 2026,"CHEVRON 0091",($34.76),Gas
May 27, 2026,May 27, 2026,"SHELL OIL 5741",($46.47),Gas
May 27, 2026,May 27, 2026,"CARD PAYMENT - THANK YOU",$622.01,Payment
Jun 4, 2026,Jun 4, 2026,"NETFLIX.COM 866-579-7172",($17.99),Entertainment
Jun 7, 2026,Jun 7, 2026,"SPOTIFY PREMIUM",($11.99),Entertainment
Jun 8, 2026,Jun 8, 2026,"ADOBE CREATIVE CLOUD",($54.99),Software
Jun 11, 2026,Jun 11, 2026,"XBOX GAME PASS ULTIMATE",($16.99),Entertainment
Jun 14, 2026,Jun 14, 2026,"STATE FARM INSURANCE",($145.00),Insurance
Jun 17, 2026,Jun 17, 2026,"AT&T WIRELESS",($95.32),Bills & Utilities
Jun 18, 2026,Jun 18, 2026,"CITY WATER UTILITY",($66.10),Bills & Utilities
Jun 19, 2026,Jun 19, 2026,"UBER TRIP",($15.57),Transport
Jun 20, 2026,Jun 20, 2026,"CHIPOTLE ONLINE",($18.74),Dining
Jun 21, 2026,Jun 21, 2026,"TRADER JOE'S",($62.16),Groceries
Jun 24, 2026,Jun 24, 2026,"SHELL OIL 5741",($32.45),Gas
Jun 27, 2026,Jun 27, 2026,"AMAZON.COM",($179.88),Shopping
Jun 27, 2026,Jun 27, 2026,"TARGET STORE 1122",($214.11),Shopping
Jun 27, 2026,Jun 27, 2026,"CHEVRON 0091",($34.16),Gas
Jun 27, 2026,Jun 27, 2026,"PANERA BREAD",($11.85),Dining
Jun 27, 2026,Jun 27, 2026,"BEST BUY 00456",($275.61),Shopping
Jun 27, 2026,Jun 27, 2026,"LYFT RIDE",($17.58),Transport
Jun 27, 2026,Jun 27, 2026,"WHOLE FOODS MARKET",($73.26),Groceries
Jun 27, 2026,Jun 27, 2026,"TARGET RETURN",$24.99,Shopping
Jun 27, 2026,Jun 27, 2026,"CARD PAYMENT - THANK YOU",$621.91,Payment
